gen_name,gen_country_second,gen_year,gen_election,ques_respositions,ques_numitems,ques_dnk,ques_weights,pos_method,vis_single,vis_rank_quant,vis_rank_notquant,vis_twodim,vis_threedim,vis_spider,designer_uni,designer_comp,designer_media,designer_ngo,elec_vaa,elec_ballot,elec_parliament,elec_electors,elec_users,website,Note,gen_country_first,match_cityblock,match_euclidean,match_agreement,match_2d,match_3d,match_6d,type,format,gen_weights
A qui en votar,,2008,Lower House,3,20,0,0,Kieskompas-method,0,1,0,0,0,0,0,0,1,0,3,8,,,,http://www.elmundo.es/especiales/2008/02/espana/elecciones2008/aquienvotar/aquienvotar.html,,Spain,0,0,1,0,0,0,Party,Options,1.000000000
Aftonbladets Valkompass,,2010,Lower House,5,30,1,1,Kieskompas-method,0,1,0,1,0,0,1,1,1,0,10,19,,5960408,,http://www.sverige.kieskompas.nl/,,Sweden,0,0,0,1,0,0,Party,Scale,1.000000000
Aftonbladets Valkompass,,2014,Lower House,5,30,1,0,Kieskompas-method,0,1,0,1,0,0,1,1,1,0,9,,,,3200000,http://www.aftonbladet.se/nyheter/valaret2014/riksdag/Valkompassen/,600 candidates,Sweden,0,0,1,1,0,0,Party,Scale,1.000000000
Asahi Votematch,,2013,Upper House,5,,0,1,Candidate,0,1,0,0,0,0,0,0,1,0,,,,,,http://www.asahi.com/senkyo/senkyo2013/asahitodai/votematch.html,,Japan,0,0,1,0,0,0,Party,Scale,1.000000000
Brujula electoral,,2016,Lower House,5,,1,1,Kieskompas-method,0,0,0,1,0,0,1,1,0,0,,,,,,www.brujulaelectoral.es,,Spain,0,0,0,1,0,0,Party,Scale,1.000000000
Brujula Presidencial,,2012,President,6,30,1,1,Kieskompas-method,0,0,0,1,0,0,1,1,1,0,4,4,,49087446,,http://www.brujulapresidencial.mx/page/1/en/default#top,,Mexico,0,0,0,1,0,0,Candidate,Scale,1.000000000
Brujula Presidencial,,2012,President,6,30,1,1,Kieskompas-method,0,0,0,1,0,0,1,1,0,0,7,,,,,http://www.brujulapresidencial.org/page/1/en/default#top,,Venezuela,0,0,0,1,0,0,Candidate,Scale,1.000000000
Bundeswahlkompass,,2013,Lower House,6,30,1,1,Kieskompas-method,0,0,0,1,0,0,1,1,0,0,,,,,,http://www.bundeswahlkompass.de/page/1/de/default,,Germany,0,0,0,1,0,0,Party,Scale,1.000000000
Bussola Eleitoral,,2009,Lower House,5,28,1,1,Kieskompas-method,0,0,0,1,0,0,1,1,0,0,12,16,,5505278,350000,http://www.bussolaeleitoral.pt/,,Portugal,0,0,0,1,0,0,Party,Scale,1.000000000
Bussola Eleitoral,,2015,Lower House,5,,1,1,Kieskompas-method,0,0,0,1,0,0,1,1,0,0,,,,,,https://www.bussolaeleitoral.pt/,,Portugal,0,0,0,1,0,0,Party,Scale,1.000000000
